OBJECTID,FacilityID,Name,GEOID10,MSA,ARC,FeatureID,TurnOut,ShapeSTArea,ShapeSTLength
1,,Charlton,13049,No,No,,,21830159311.715,1046678.42836957
2,,Emanuel,13107,No,No,,,19251863651.552,793362.488061872
3,,Wayne,13305,No,No,,,18104160861.2107,726955.917020839
4,,Ben Hill,13017,No,No,,,7078535007.71777,472161.476010939
5,,Appling,13001,No,No,,,14288852760.1241,692276.802578073
6,,Bibb,13021,No,No,,,7119793953.92236,466465.584601131
7,,Banks,13011,No,No,,,6520249712.61768,344568.839117185
8,,Baldwin,13009,No,No,,,7479383548.86841,519106.163868959
9,,Coffee,13069,No,No,,,16805946897.3618,688906.747698111
10,,Early,13099,No,No,,,14393561940.1255,644661.576288405
11,,Effingham,13103,No,No,,,13483935495.4963,689877.927958674
12,,Harris,13145,No,No,,,13184151455.8403,539047.048964972
13,,Johnson,13167,No,No,,,8549783120.59668,534937.321228286
14,,Brantley,13025,No,No,,,12480406608.7759,693409.495765665
15,,Bryan,13029,No,No,,,12687557227.3755,915738.531533924
16,,Long,13183,No,No,,,11271258491.0061,604178.245959648
17,,Seminole,13253,No,No,,,7150778944.58463,435710.792074132
18,,Murray,13213,No,No,,,9664905787.3877,628317.660889401
19,,Rabun,13241,No,No,,,10506075534.6741,604880.604782972
20,,Montgomery,13209,No,No,,,6824229795.08569,460116.298812637
21,,Union,13291,No,No,,,9170037198.74194,542652.629819484
22,,Candler,13043,No,No,,,6943003688.40845,350897.953838768
23,,Catoosa,13047,No,No,,,4529337415.09717,330534.3600347
24,,Chattooga,13055,No,No,,,8741723465.34546,424592.077579616
25,,Bleckley,13023,No,No,,,6108769383.20874,373827.809448658
26,,Tift,13277,No,No,,,7492057705.66882,388964.529760916
27,,Burke,13033,No,No,,,23261019791.3408,841938.118665364
28,,Dade,13083,No,No,,,4856111021.32935,350954.038526677
29,,Echols,13101,No,No,,,11732849595.8607,526403.543461319
30,,Grady,13131,No,No,,,12828719581.4677,477320.457479012
31,,Elbert,13105,No,No,,,10434288131.6548,531649.710142701
32,,Atkinson,13003,No,No,,,9607163462.36951,561551.092789429
33,,Glascock,13125,No,No,,,4028420823.27539,315035.785818962
34,,Chattahoochee,13053,No,No,,,7001271441.0083,477940.177505232
35,,Columbia,13073,No,No,,,8577254216.3645,449439.933330238
36,,Baker,13007,No,No,,,9724409534.63873,618539.056136594
37,,Greene,13133,No,No,,,11324882004.6604,540352.579212953
38,,Clay,13061,No,No,,,6049503967.40472,443299.525078183
39,,Gilmer,13123,No,No,,,12035008187.8423,545005.824487015
40,,Oglethorpe,13221,No,No,,,12324799896.0381,587429.4292185
41,,Jenkins,13165,No,No,,,9834748071.32837,415942.047388508
42,,Hart,13147,No,No,,,7164000009.10498,366687.227160134
43,,Evans,13109,No,No,,,5214507631.13232,337898.9764607
44,,Mitchell,13205,No,No,,,14321746807.127,594794.082779797
45,,Pierce,13229,No,No,,,9574412101.29138,585161.964413759
46,,Lanier,13173,No,No,,,5575185070.89899,407406.45931179
47,,Wilkinson,13319,No,No,,,12599850631.625,557869.291523435
48,,Wilkes,13317,No,No,,,13220239734.6274,639309.000202184
49,,Telfair,13271,No,No,,,12377304822.0354,655910.955320968
50,,Screven,13251,No,No,,,18306743458.4292,767100.262465386
51,,Taliaferro,13265,No,No,,,5447117024.72363,473576.94611628
52,,Webster,13307,No,No,,,5860804817.69592,394443.629163313
53,,Walker,13295,No,No,,,12463653549.9185,555129.585764433
54,,Washington,13303,No,No,,,19082565304.9949,721302.24521952
55,,Oconee,13219,No,No,,,5195502268.71021,403079.311719067
56,,Ware,13299,No,No,,,25315085137.5032,1137732.66258283
57,,Stephens,13257,No,No,,,5123545636.40161,323764.276526868
58,,Laurens,13175,No,No,,,22820457088.5984,668358.460056203
59,,White,13311,No,No,,,6752512093.30884,402178.977410627
60,,Clarke,13059,No,No,,,3374153775.28833,300381.012924054
61,,Bulloch,13031,No,No,,,19218512462.0811,760500.256935569
62,,Berrien,13019,No,No,,,12765482807.6146,648550.931340144
63,,Bacon,13005,No,No,,,7970469895.84851,432344.154580852
64,,Calhoun,13037,No,No,,,7918212019.29993,490199.583391589
65,,Clinch,13065,No,No,,,22980246042.2195,748973.911365375
66,,Irwin,13155,No,No,,,10113215805.6195,527852.070418987
67,,Wheeler,13309,No,No,,,8373056995.7002,554474.070368102
68,,Lumpkin,13187,No,No,,,7922330997.30005,445713.931684102
69,,Pulaski,13235,No,No,,,6969554035.29443,404885.090044833
70,,Glynn,13127,No,No,,,16338638073.171,706521.911409961
71,,Chatham,13051,No,No,,,17659825415.7417,775201.357498488
72,,Putnam,13237,No,No,,,10054833968.9739,482575.499894677
73,,McDuffie,13189,No,No,,,7432007863.10864,494750.020628779
74,,Toombs,13279,No,No,,,10348252416.6241,527569.800662633
75,,Towns,13281,No,No,,,4793665432.75122,386029.012199649
76,,Miller,13201,No,No,,,7907035254.16241,386611.891969637
77,,Dodge,13091,No,No,,,14026411290.0341,681115.702265209
78,,Fannin,13111,No,No,,,10906397041.8872,600923.322089595
79,,Lincoln,13181,No,No,,,7175836643.93018,484655.93823115
80,,Muscogee,13215,No,No,,,6160733750.86267,434920.053036457
81,,Franklin,13119,No,No,,,7439331648.61328,415172.268141062
82,,Treutlen,13283,No,No,,,5646171024.25732,387794.546237607
83,,Turner,13287,No,No,,,8083332211.15466,434437.732682076
84,,Habersham,13137,No,No,,,7777756230.82178,503027.873367838
